Relative Ranking,Team,O-Rate,D-Rate,Relative Rating,Opponent Adjust,Pace Adjust,Off Rank,Def Rank,True Tempo,Tempo Rank,Injury Rank,Home Rank,Roster Rank,Kill Shots Per Game,Kill Shots Conceded Per Game,Kill Shots Margin Per Game,Total Kill Shots,Total Kill Shots Conceded,D1 Wins,D1 Losses,scrape_time_utc
1,Michigan,18.1,17.9,36.0,0.03,0.03,2,1,73.8,10,1,34,1,1.82,0.09,1.73,20,1,11,0,2025-12-22T19:23:32.624681
2,Arizona,16.6,16.3,32.8,0.03,-0.05,5,2,72.3,38,2,57,8,1.18,0.09,1.09,13,1,11,0,2025-12-22T19:23:32.624681
3,Iowa St.,16.5,16.0,32.5,0.03,0.03,6,3,71.0,95,3,153,11,1.42,0.17,1.25,17,2,12,0,2025-12-22T19:23:32.624681
4,Duke,16.8,15.0,31.8,-0.05,-0.05,4,5,69.5,199,4,299,3,1.50,0.33,1.17,18,4,11,1,2025-12-22T19:23:32.624681
5,Purdue,20.6,9.9,30.5,-0.05,0.03,1,21,66.3,350,5,228,2,1.42,0.42,1.00,17,5,11,1,2025-12-22T19:23:32.624681
6,Gonzaga,14.6,13.6,28.1,-0.05,-0.05,11,8,72.6,26,6,67,12,1.38,0.31,1.08,18,4,12,1,2025-12-22T19:23:32.624681
7,Connecticut,14.1,13.6,27.6,0.03,0.03,13,9,66.6,336,7,203,9,0.62,0.15,0.46,8,2,12,1,2025-12-22T19:23:32.624681
8,Vanderbilt,17.1,10.3,27.4,0.03,-0.05,3,18,72.0,47,8,300,10,1.17,0.08,1.08,14,1,12,0,2025-12-22T19:23:32.624681
9,Houston,11.8,15.6,27.4,-0.05,-0.05,24,4,66.3,348,9,38,6,1.25,0.25,1.00,15,3,11,1,2025-12-22T19:23:32.624681
10,BYU,14.8,11.9,26.7,-0.05,0.03,10,13,70.9,100,10,47,4,1.09,0.55,0.55,12,6,11,1,2025-12-22T19:23:32.624681
11,Florida,11.7,12.9,24.6,-0.05,-0.05,25,11,72.1,44,11,123,5,1.17,0.00,1.17,14,0,8,4,2025-12-22T19:23:32.624681
12,Michigan St.,10.0,14.4,24.4,0.03,-0.05,38,7,68.0,286,12,113,22,0.67,0.08,0.58,8,1,11,1,2025-12-22T19:23:32.624681
13,Tennessee,10.9,13.0,24.0,-0.05,0.03,30,10,68.3,274,13,11,23,0.92,0.00,0.92,11,0,9,3,2025-12-22T19:23:32.624681
14,Illinois,16.0,7.9,23.9,-0.05,0.03,8,32,69.9,168,14,180,13,1.00,0.18,0.82,11,2,8,3,2025-12-22T19:23:32.624681
15,Louisville,14.3,9.1,23.4,-0.05,-0.05,12,26,72.1,43,19,2,7,1.42,0.17,1.25,17,2,10,2,2025-12-22T19:23:32.624681
16,Kansas,8.7,14.6,23.3,-0.05,-0.05,49,6,68.6,250,17,25,17,0.50,0.08,0.42,6,1,9,3,2025-12-22T19:23:32.624681
17,Alabama,16.3,7.0,23.2,-0.05,0.03,7,44,75.3,3,15,301,15,0.50,0.33,0.17,6,4,9,3,2025-12-22T19:23:32.624681
18,Georgia,13.4,9.6,22.9,-0.05,-0.05,16,24,74.8,6,16,150,27,1.45,0.27,1.18,16,3,10,1,2025-12-22T19:23:32.624681
19,Iowa,12.8,9.6,22.5,-0.05,0.03,19,23,66.3,349,18,22,26,1.17,0.17,1.00,14,2,10,2,2025-12-22T19:23:32.624681
20,Nebraska,10.1,10.6,20.8,0.03,-0.05,36,16,69.7,189,20,76,40,1.17,0.42,0.75,14,5,12,0,2025-12-22T19:23:32.624681
21,Kentucky,9.2,11.4,20.6,-0.05,0.03,46,14,71.3,77,21,19,14,1.08,0.25,0.83,13,3,8,4,2025-12-22T19:23:32.624681
22,Arkansas,12.6,7.7,20.4,-0.05,0.03,20,34,72.2,41,22,161,16,1.08,0.17,0.92,13,2,9,3,2025-12-22T19:23:32.624681
23,North Carolina,9.9,10.2,20.1,0.03,0.03,41,19,69.3,206,23,93,28,0.92,0.25,0.67,11,3,11,1,2025-12-22T19:23:32.624681
24,St. John's,9.1,11.0,20.1,-0.05,0.03,47,15,72.4,30,24,143,24,0.64,0.27,0.36,7,3,7,4,2025-12-22T19:23:32.624681
25,UCLA,12.9,7.1,20.0,0.03,0.03,18,43,67.0,326,25,158,21,0.75,0.33,0.42,9,4,9,3,2025-12-22T19:23:32.624681
26,Texas Tech,13.7,5.9,19.6,-0.05,0.03,14,57,68.9,229,28,187,25,0.58,0.42,0.17,7,5,9,3,2025-12-22T19:23:32.624681
27,N.C. State,12.1,7.4,19.4,-0.05,0.03,23,38,71.1,87,26,8,19,1.23,0.54,0.69,16,7,9,4,2025-12-22T19:23:32.624681
28,Virginia,13.7,5.6,19.2,0.03,-0.05,15,60,68.4,263,27,170,30,1.73,0.18,1.55,19,2,10,1,2025-12-22T19:23:32.624681
29,Ohio St.,12.9,5.6,18.5,-0.05,-0.05,17,59,69.8,178,32,119,18,0.73,0.18,0.55,8,2,8,3,2025-12-22T19:23:32.624681
30,Miami FL,10.4,8.1,18.4,-0.05,-0.05,33,31,71.1,85,29,99,20,1.23,0.15,1.08,16,2,11,2,2025-12-22T19:23:32.624681
31,Utah St.,10.6,7.7,18.3,0.03,-0.05,31,35,70.0,159,30,114,43,0.80,0.40,0.40,8,4,9,1,2025-12-22T19:23:32.624681
32,Indiana,10.0,8.2,18.2,-0.05,0.03,37,29,69.9,171,31,4,29,0.67,0.33,0.33,8,4,9,3,2025-12-22T19:23:32.624681
33,Baylor,15.8,1.9,17.7,-0.05,-0.05,9,122,70.6,117,33,12,32,1.00,0.36,0.64,11,4,9,2,2025-12-22T19:23:32.624681
34,Saint Louis,10.0,7.5,17.4,0.03,-0.05,39,36,73.6,12,34,21,48,1.67,0.08,1.58,20,1,11,1,2025-12-22T19:23:32.624681
35,Saint Mary's,7.2,10.0,17.1,-0.05,-0.05,61,20,67.8,299,35,63,55,0.91,0.27,0.64,10,3,9,2,2025-12-22T19:23:32.624681
36,Clemson,8.5,8.5,17.0,-0.05,0.03,52,28,66.7,335,36,46,46,0.85,0.23,0.62,11,3,10,3,2025-12-22T19:23:32.624681
37,LSU,11.2,5.5,16.7,0.03,-0.05,28,62,69.8,180,37,101,45,1.20,0.10,1.10,12,1,10,1,2025-12-22T19:23:32.624681
38,Villanova,9.7,6.9,16.6,-0.05,-0.05,42,46,66.4,343,38,50,50,0.73,0.45,0.27,8,5,9,2,2025-12-22T19:23:32.624681
39,Texas,10.2,6.2,16.4,-0.05,0.03,35,52,69.9,172,39,151,34,0.64,0.18,0.45,7,2,7,4,2025-12-22T19:23:32.624681
40,USC,9.7,6.5,16.3,0.03,-0.05,43,47,71.3,72,40,313,33,0.75,0.25,0.50,9,3,11,1,2025-12-22T19:23:32.624681
41,Auburn,12.3,3.6,15.9,-0.05,0.03,22,91,70.1,152,47,27,37,0.75,0.50,0.25,9,6,8,4,2025-12-22T19:23:32.624681
42,Seton Hall,4.8,10.6,15.4,0.03,0.03,93,17,67.5,315,41,222,66,0.82,0.18,0.64,9,2,11,1,2025-12-22T19:23:32.624681
43,Oklahoma,11.5,3.7,15.2,0.03,0.03,27,90,69.3,208,43,248,38,0.91,0.27,0.64,10,3,8,3,2025-12-22T19:23:32.624681
44,TCU,5.2,9.7,14.9,0.03,0.03,87,22,68.8,239,42,233,52,0.50,0.17,0.33,6,2,9,3,2025-12-22T19:23:32.624681
45,Creighton,8.4,6.4,14.8,-0.05,0.03,53,48,68.0,288,44,305,47,0.92,0.50,0.42,11,6,7,5,2025-12-22T19:23:32.624681
46,SMU,9.4,5.2,14.7,-0.05,0.03,44,67,71.6,60,45,178,31,1.00,0.33,0.67,12,4,10,2,2025-12-22T19:23:32.624681
47,Missouri,10.4,4.3,14.7,-0.05,0.03,32,79,70.0,164,48,121,36,1.17,0.33,0.83,14,4,10,2,2025-12-22T19:23:32.624681
48,Texas A&M,10.2,3.9,14.2,-0.05,0.03,34,88,73.1,18,46,105,44,1.25,0.42,0.83,15,5,9,3,2025-12-22T19:23:32.624681
49,UCF,11.1,2.8,14.0,0.03,-0.05,29,107,71.4,68,49,189,67,0.91,0.64,0.27,10,7,10,1,2025-12-22T19:23:32.624681
50,Cincinnati,1.5,12.4,13.9,-0.05,0.03,133,12,70.4,131,50,133,41,0.92,0.42,0.50,11,5,7,5,2025-12-22T19:23:32.624681
51,VCU,7.9,6.0,13.9,-0.05,0.03,58,55,70.9,98,51,167,60,0.67,0.42,0.25,8,5,8,4,2025-12-22T19:23:32.624681
52,Washington,7.4,6.3,13.7,0.03,-0.05,60,49,69.8,176,58,256,39,0.91,0.27,0.64,10,3,7,4,2025-12-22T19:23:32.624681
53,Wisconsin,9.0,4.5,13.5,-0.05,0.03,48,75,70.5,126,53,6,42,0.64,0.36,0.27,7,4,7,4,2025-12-22T19:23:32.624681
54,Oregon,8.3,5.0,13.4,-0.05,0.03,54,71,69.8,177,52,134,35,0.50,0.25,0.25,6,3,6,6,2025-12-22T19:23:32.624681
55,McNeese,6.1,6.9,13.0,-0.05,0.03,71,45,69.2,214,54,37,57,1.40,0.30,1.10,14,3,8,2,2025-12-22T19:23:32.624681
56,West Virginia,4.5,8.5,13.0,-0.05,-0.05,98,27,67.0,329,55,17,62,1.17,0.17,1.00,14,2,8,4,2025-12-22T19:23:32.624681
57,Boise St.,5.7,7.3,13.0,0.03,0.03,79,39,68.3,269,56,61,80,0.40,0.50,-0.10,4,5,7,3,2025-12-22T19:23:32.624681
58,California,6.6,6.1,12.7,0.03,0.03,67,53,69.3,207,57,75,59,1.08,0.25,0.83,13,3,11,1,2025-12-22T19:23:32.624681
59,Dayton,4.6,8.1,12.7,0.03,0.03,96,30,69.9,170,61,165,61,0.69,0.54,0.15,9,7,9,4,2025-12-22T19:23:32.624681
60,Kansas St.,8.6,4.0,12.5,-0.05,0.03,51,86,72.6,27,59,276,53,0.83,0.25,0.58,10,3,8,4,2025-12-22T19:23:32.624681
61,San Diego St.,4.3,7.8,12.1,-0.05,-0.05,100,33,69.1,218,60,142,56,0.70,0.50,0.20,7,5,6,4,2025-12-22T19:23:32.624681
62,Wake Forest,6.0,6.0,11.9,-0.05,-0.05,77,56,71.1,89,62,221,69,0.77,0.31,0.46,10,4,9,4,2025-12-22T19:23:32.624681
63,Yale,11.7,0.0,11.7,0.03,0.03,26,158,68.3,272,63,356,78,0.60,0.10,0.50,6,1,9,1,2025-12-22T19:23:32.624681
64,Notre Dame,6.0,5.3,11.3,0.03,0.03,75,64,67.6,310,87,260,70,0.69,0.31,0.38,9,4,9,4,2025-12-22T19:23:32.624681
65,Oklahoma St.,7.9,3.2,11.1,0.03,-0.05,57,100,74.4,8,64,162,71,0.83,0.25,0.58,10,3,11,1,2025-12-22T19:23:32.624681
66,Butler,6.9,4.1,11.0,-0.05,0.03,64,84,70.9,101,70,188,76,0.75,0.17,0.58,9,2,9,3,2025-12-22T19:23:32.624681
67,Belmont,6.7,3.9,10.7,0.03,-0.05,66,87,71.6,61,65,365,82,1.33,0.33,1.00,16,4,11,1,2025-12-22T19:23:32.624681
68,Northwestern,6.0,4.6,10.6,-0.05,0.03,74,74,68.5,255,84,36,64,0.83,0.17,0.67,10,2,7,5,2025-12-22T19:23:32.624681
69,Akron,12.5,-1.9,10.5,-0.05,-0.05,21,212,72.6,25,66,169,73,0.55,0.27,0.27,6,3,8,3,2025-12-22T19:23:32.624681
70,Mississippi,4.3,6.2,10.5,0.03,-0.05,101,50,68.1,284,67,253,68,0.50,0.25,0.25,6,3,7,5,2025-12-22T19:23:32.624681
71,Colorado,8.3,2.1,10.4,0.03,-0.05,55,120,70.4,129,68,102,87,0.58,0.25,0.33,7,3,10,2,2025-12-22T19:23:32.624681
72,George Washington,8.1,2.3,10.3,0.03,0.03,56,116,71.7,57,69,149,63,0.58,0.50,0.08,7,6,8,4,2025-12-22T19:23:32.624681
73,South Florida,6.0,4.2,10.2,-0.05,0.03,78,81,73.5,13,71,127,51,0.67,0.33,0.33,8,4,7,5,2025-12-22T19:23:32.624681
